Date;Lever;Coucher
1/1;08:23;16:57
2/1;08:22;16:58
3/1;08:22;16:59
4/1;08:22;17:00
5/1;08:22;17:01
6/1;08:22;17:02
7/1;08:22;17:03
8/1;08:21;17:04
9/1;08:21;17:05
10/1;08:20;17:07
11/1;08:20;17:08
12/1;08:20;17:09
13/1;08:19;17:10
14/1;08:18;17:12
15/1;08:18;17:13
16/1;08:17;17:14
17/1;08:16;17:16
18/1;08:16;17:17
19/1;08:15;17:19
20/1;08:14;17:20
21/1;08:13;17:21
22/1;08:12;17:23
23/1;08:11;17:24
24/1;08:10;17:26
25/1;08:09;17:27
26/1;08:08;17:29
27/1;08:07;17:30
28/1;08:06;17:32
29/1;08:05;17:33
30/1;08:03;17:35
31/1;08:02;17:36
1/2;08:01;17:38
2/2;08:00;17:40
3/2;07:58;17:41
4/2;07:57;17:43
5/2;07:56;17:44
6/2;07:54;17:46
7/2;07:53;17:47
8/2;07:51;17:49
9/2;07:50;17:50
10/2;07:48;17:52
11/2;07:47;17:54
12/2;07:45;17:55
13/2;07:43;17:57
14/2;07:42;17:58
15/2;07:40;18:00
16/2;07:39;18:01
17/2;07:37;18:03
18/2;07:35;18:04
19/2;07:33;18:06
20/2;07:32;18:07
21/2;07:30;18:09
22/2;07:28;18:10
23/2;07:26;18:12
24/2;07:25;18:14
25/2;07:23;18:15
26/2;07:21;18:17
27/2;07:19;18:18
28/2;07:17;18:20
1/3;07:15;18:21
2/3;07:13;18:22
3/3;07:12;18:24
4/3;07:10;18:25
5/3;07:08;18:27
6/3;07:06;18:28
7/3;07:04;18:30
8/3;07:02;18:31
9/3;07:00;18:33
10/3;06:58;18:34
11/3;06:56;18:36
12/3;06:54;18:37
13/3;06:52;18:38
14/3;06:50;18:40
15/3;06:48;18:41
16/3;06:46;18:43
17/3;06:44;18:44
18/3;06:42;18:46
19/3;06:40;18:47
20/3;06:38;18:48
21/3;06:36;18:50
22/3;06:34;18:51
23/3;06:32;18:53
24/3;06:30;18:54
25/3;06:28;18:56
26/3;06:26;18:57
27/3;06:24;18:58
28/3;07:22;20:00
29/3;07:20;20:01
30/3;07:18;20:03
31/3;07:16;20:04
1/4;07:14;20:05
2/4;07:12;20:07
3/4;07:10;20:08
4/4;07:08;20:09
5/4;07:06;20:11
6/4;07:04;20:12
7/4;07:02;20:14
8/4;07:00;20:15
9/4;06:58;20:16
