Date;Heure;Valeur
25/03/2021;10:49:09;468
25/03/2021;10:52:14;2304
25/03/2021;10:55:14;81560
25/03/2021;11:05:19;72800
25/03/2021;11:08:51;62208
25/03/2021;11:11:51;75110
25/03/2021;11:14:53;56448
25/03/2021;11:20:54;44697
25/03/2021;11:23:54;71420
25/03/2021;11:29:24;61286
25/03/2021;11:32:26;40550
25/03/2021;11:35:27;49536
25/03/2021;11:38:27;40320
25/03/2021;11:41:27;61286
25/03/2021;11:44:27;41702
25/03/2021;11:47:30;29721
25/03/2021;11:50:30;20620
25/03/2021;11:53:30;17856
25/03/2021;11:57:00;20044
25/03/2021;12:00:02;32256
25/03/2021;12:03:04;43315
25/03/2021;12:06:04;66350
25/03/2021;12:09:04;57600
25/03/2021;12:12:07;82020
25/03/2021;12:16:09;73720
25/03/2021;12:19:09;81560
25/03/2021;12:23:12;70040
25/03/2021;12:28:46;61747
25/03/2021;12:31:46;77870
25/03/2021;12:41:21;47232
25/03/2021;12:44:22;67730
25/03/2021;12:47:24;79250
25/03/2021;12:50:58;69580
25/03/2021;12:53:58;83400
25/03/2021;12:56:58;17049
25/03/2021;13:00:03;77870
25/03/2021;13:06:07;63590
25/03/2021;13:09:07;77870
25/03/2021;13:12:10;16819
25/03/2021;13:15:12;20160
25/03/2021;13:22:12;27993
25/03/2021;13:25:12;77870
25/03/2021;13:28:45;48614
25/03/2021;13:31:47;19353
25/03/2021;13:36:49;21542
25/03/2021;13:39:49;76950
25/03/2021;13:42:49;18662
25/03/2021;13:45:50;23731
25/03/2021;13:48:50;20390
25/03/2021;13:54:52;24192
25/03/2021;13:57:52;37555
25/03/2021;14:01:22;24307
25/03/2021;14:08:22;21427
25/03/2021;14:11:22;18432
25/03/2021;14:14:23;15897
25/03/2021;14:28:00;12326
25/03/2021;14:31:02;13881
25/03/2021;14:34:02;11520
25/03/2021;14:37:02;15552
25/03/2021;14:40:02;13939
25/03/2021;14:43:04;16473
25/03/2021;14:46:05;12268
25/03/2021;14:49:09;16358
25/03/2021;14:55:43;13708
25/03/2021;14:58:46;15321
25/03/2021;15:02:48;13593
25/03/2021;15:11:21;15206
25/03/2021;15:14:23;13536
25/03/2021;15:20:58;12038
25/03/2021;15:24:00;14976
25/03/2021;15:28:34;16819
25/03/2021;15:33:11;21196
25/03/2021;15:36:11;33408
25/03/2021;15:41:14;29260
25/03/2021;15:45:44;13593
25/03/2021;15:48:44;25459
25/03/2021;15:51:44;9446
25/03/2021;15:55:14;11462
25/03/2021;15:58:14;21542
25/03/2021;16:01:19;17164
25/03/2021;16:04:19;19814
25/03/2021;16:11:21;17740
